+--------------------+--------------------+--------------------+
|         X          |       X_LAG        |       X_LAGi       |
+--------------------+--------------------+--------------------+
| 64904761904.76191  |  74842105263.1579  | 70930170122.02802  |
|  74842105263.1579  | 80731578947.36842  | 79882107579.23282  |
| 80731578947.36842  | 79523809523.80952  | 85187569831.61253  |
| 79523809523.80952  | 76666666666.66667  | 84099565125.27533  |
| 76666666666.66667  | 73906020558.00294  | 81525741997.60484  |
| 73906020558.00294  | 65648189143.717354 | 79038846816.97757  |
| 65648189143.717354 | 52549580264.80642  | 71599877699.50531  |
| 52549580264.80642  | 48213856468.571815 | 59800151834.007484 |
| 48213856468.571815 | 44558831005.062126 | 55894366670.328514 |
| 44558831005.062126 | 50151531591.731674 | 52601780495.75649  |
| 50151531591.731674 | 41882523345.18044  | 57639898236.39372  |
| 41882523345.18044  | 31580639553.82983  | 50190860602.63869  |
| 31580639553.82983  | 32375083934.824116 | 40910531236.37551  |
| 32375083934.824116 | 39309580983.228165 | 41626196998.88335  |
| 39309580983.228165 | 43956163612.043274 | 47873056107.56412  |
| 43956163612.043274 | 52010355753.04612  | 52058874749.70081  |
| 52010355753.04612  | 67220154164.316605 | 59314397852.22606  |
| 67220154164.316605 | 89238865118.52626  | 73015963673.57289  |
| 89238865118.52626  | 111884752475.24753 |  92851257296.9756  |
| 111884752475.24753 | 148733861386.1386  | 113251535315.84805 |
| 148733861386.1386  | 188110390659.51477 | 146446616377.96307 |
| 188110390659.51477 | 121552153444.12442 | 181918493983.8864  |
| 121552153444.12442 | 141209170427.2334  | 121960298385.20386 |
| 141209170427.2334  | 169333835201.5541  | 139668088111.45197 |
| 169333835201.5541  | 182591753827.94882 | 165003857540.39612 |
| 182591753827.94882 | 190498811460.02753 | 176947095695.28192 |
| 190498811460.02753 | 133503871861.7233  | 184070074427.12555 |
| 133503871861.7233  | 91030967789.07175  | 132726861632.72131 |
| 91030967789.07175  | 93355869403.92232  |  94465651652.1891  |
| 93355869403.92232  | 112090505081.73862 |  96560011593.2404  |
| 112090505081.73862 | 130891088293.54999 | 113436885101.8559  |
| 130891088293.54999 | 153883047509.57697 | 130373166661.34465 |
| 153883047509.57697 | 156617722013.3422  | 151085199394.57806 |
| 156617722013.3422  | 199765859570.9353  | 153548698364.13263 |
| 199765859570.9353  | 160502737251.04666 | 192418184390.7069  |
+--------------------+--------------------+--------------------+


f(x) = 0.9008380946846705*x + 12461488071.780106
R^2 = 0.789119905205813
